method	representation	nodes	density	average_time_sec
DFS	matrix	110	95	0.034754202679978335
DFS	list	110	95	0.02992855496984703
BFS	matrix	140	15	0.046509883350008746
BFS	list	140	15	0.022652131899958475
DFS	matrix	140	15	0.04928793805989699
DFS	list	140	15	0.0254128132101323
BFS	matrix	140	35	0.05156372738998471
BFS	list	140	35	0.026853328999968652
DFS	matrix	140	35	0.054367343690173583
DFS	list	140	35	0.028840577749833757
BFS	matrix	140	55	0.05269499788995745
BFS	list	140	55	0.031986681720300114
DFS	matrix	140	55	0.05691240964995813
DFS	list	140	55	0.03466573075020278
BFS	matrix	140	75	0.051974424329819156
BFS	list	140	75	0.03734954599021876
DFS	matrix	140	75	0.05734051071998692
DFS	list	140	75	0.039176771020211165
BFS	matrix	140	95	0.051142597940197446
BFS	list	140	95	0.04058755487989402
DFS	matrix	140	95	0.05282567055019172
DFS	list	140	95	0.041918809259950646
BFS	matrix	170	15	0.06777653140019538
BFS	list	170	15	0.02629704824019427
DFS	matrix	170	15	0.07232246897012373
DFS	list	170	15	0.03138605289012048
BFS	matrix	170	35	0.0758356876103062
BFS	list	170	35	0.037192208030282926
DFS	matrix	170	35	0.0791233539197492
DFS	list	170	35	0.03896149341017008
BFS	matrix	170	55	0.07954241967996495
BFS	list	170	55	0.04496400776984956
DFS	matrix	170	55	0.08411444397002925
DFS	list	170	55	0.04653892703998281
BFS	matrix	170	75	0.07905679258001327
BFS	list	170	75	0.05073866396014637
DFS	matrix	170	75	0.08575490399991395
DFS	list	170	75	0.05294507478993182
BFS	matrix	170	95	0.07584967380997114
BFS	list	170	95	0.05582595784962905
DFS	matrix	170	95	0.07879474255001696
DFS	list	170	95	0.058113483020024434
BFS	matrix	200	15	0.10181463607015757
BFS	list	200	15	0.03265036943976156
DFS	matrix	200	15	0.10634873627001071
DFS	list	200	15	0.03606814391023363
BFS	matrix	200	35	0.1219433163298163
BFS	list	200	35	0.048305711870089
DFS	matrix	200	35	0.12444594054002664
DFS	list	200	35	0.052088806279934945
BFS	matrix	200	55	0.1298272479397565
BFS	list	200	55	0.058359463430060717
DFS	matrix	200	55	0.13595370955030375
DFS	list	200	55	0.06444432714975847
BFS	matrix	200	75	0.1185798674997568
BFS	list	200	75	0.06732201227994665
DFS	matrix	200	75	0.12980114498019246
DFS	list	200	75	0.07187970706982014
BFS	matrix	200	95	0.11774747270981606
BFS	list	200	95	0.08428766413002449
DFS	matrix	200	95	0.12504019468993646
DFS	list	200	95	0.0872823463300665
